Cluster,Rank,Code,Description,Micro dept,Qty,Sales
Rest,34571,240637,TOY MOBILE HAPPY GIRL,GIRLS PLAYSET,20,2586
Rest,34572,329244,TALKING B/ROOM SCALE :RM/304,WEIGHING SCALE,1,2586
Rest,34573,675713,DISH WASHING GEL S/LEMON 500ML,DISHWASHING GEL,20,2586
Rest,34574,576228,NAZ KITCHEN TOWEL MIXED CHECK,KITCHEN TOWEL,15,2586
Rest,34575,680394,MEN SHIRT ELUNO LILAC #805,SHIRTS,1,2585
Rest,34576,680393,MEN SHIRT ELUNO LT BLUE #640-8,SHIRTS,1,2585
Rest,34577,680391,MEN SHIRT ELUNO WHITE #T473-1,T-SHIRTS,1,2585
Rest,34578,680390,MEN SHIRT ELUNO PURPLE #693,SHIRTS,1,2585
Rest,34579,786013,CARROT LOCAL PER KG,CARROT,20,2585
Rest,34580,687582,PROT.BAR MINT CHOC CHUNK 60GM,SUPPLIMENTS,5,2582
Rest,34581,988560,MENS TRS #458,CHINOS,1,2582
Rest,34582,720361,FELICIA CARPET 160*235,SHAGS,1,2582
Rest,34583,652670,HAND WASH ROSE 1KG -CARTON,HAND WASH POWDER,1,2582
Rest,34584,403464,KERGOODBABY06120,BABY WALKER,1,2582
Rest,34585,406231,TRS.BLEU GRASS # 7301-3,CHINOS,1,2582
Rest,34586,249841,STACK N NEST TOY SET 1073100,OTHER UNISEX ITEMS,1,2582
Rest,34587,317928,MEN JUMPER CEGODEN #6629,JACKETS & JUMPERS,1,2582
Rest,34588,535679,FANCY TUTU SKIRT SET 4YRS,DRESS,2,2581
Rest,34589,736318,VANILLA,MILK SHAKE,10,2578
Rest,34590,985079,BABY OHM & EMMY 3PC LEACUB,DRESS,2,2578
Rest,34591,985078,BABY GIRL 3PC OHM & EMMY 2 DUCK,BABY ACCESSORIES,2,2578
Rest,34592,985075,BABY OHM 3PC SUIT FALL FRM THESKY,JUMPSUIT,2,2578
Rest,34593,981934,CAZ-55 BABY SUIT 8 PCS SET,DRESS,2,2578
Rest,34594,679983,CHICKEN WIRE 3FT 1/2'' INCH,GARDENING OTHERS,2,2578
Rest,34595,649220,BABY GIRL 2 BEAR OHM & EMMY,TROUSER,2,2578
Rest,34596,649214,ADVENTURE SUIT OHM,TROUSER,2,2578
Rest,34597,648044,SOFT&CUDDLE CATRPR W/L&M 840,R/C CAR/HELICOP/DRONES/BOATS,2,2578
Rest,34598,649201,BABY OHM & EMMY 3PC,TROUSER,2,2578
Rest,34599,545306,DRAWING BOARD(4 COLOURS) 1688,R/C CAR/HELICOP/DRONES/BOATS,2,2578
Rest,34600,406616,CARPET C & L SHAGGY 80*200,SHAGS,2,2578
Rest,34601,317943,MEN PU HAT,CAPS & HATS,2,2578
Rest,34602,211750,MEN SHORT ENECHIS #1036/BLK/BLU,SHORTS,2,2578
